MID - MapId,Type
ncQZCg8d5I58GA905dZ99PVFE6e,Trial
BtgwHuXZYIeQ77Mp8CQUspJuqb0,RPG
86rnEpls5dwu4Bv3RsDiPwCnnh4,RPG
In6vRSfQ1CyPY2GmlBa2FbbBof3,RPG
SpW9Mdf6ARDBAsBl3RJDYMMskrm,RPG
WQ6TuL_cZ0n6qRNj37gmySrRWc3,RPG
vVPriHScmk0letVvxceJIITzvnh,RPG
As6e7QF9zVA4N4hZCqiV_t9PWk0,TMGL
Z06Xps5LGsHIuMIniwuTQwPvY29,TMGL
mng8Tlg2klDWkQ3DYkXi0IRQds3,TMGL
qsHYLET4S7hwIZx729HbxV18Uib,TMGL
DqNxf9aj_trZt0KEZLtvMs1HXB3,TMGL
r00ojcO4WwwSpwZAHb6BDuf5Uud,TMGL
67_6IVIfn78quXaXqIOkiSiPYk3,TMGL
xS14UhvkBgf0YAL_ipTsvz_ljB7,Mini
ve71FzWzZoxF9NAdOBvJERRUNy0,Mini
OhqvJzfqkXIkxjwqlPwxaCsO97c,Mini
